#key,translationString
#some of these keys don't have {number} values
#these are useful for formatting, yes
#but if you're intentionally updating some text every frame
#DO NOT use those as they can be a little bit expensive

name,English (Canada)
nativeName,English (Canada)

freeplay_PB,PERSONAL BEST:

difficulty_easy,Easy
difficulty_normal,Medium
difficulty_hard,Hard
difficulty_erect,Erect
difficulty_nightmare,Nightmare

score,Score: {1}
comboBreaks,Combo Breaks: {1}
accuracy,Accuracy: {1}

keScoreText,Score: {1} | Combo Breaks: {2} | Accuracy: {3}% | {4}
keScoreTextNoAcc,Score: {1}

pause_resumeSong,Resume
pause_restartSong,Restart Song
pause_exit,Exit

judge_Sick,Sick
judge_Great,Great
judge_Good,Good
judge_Bad,Bad
judge_Shit,Shit
judge_Miss,Miss

judge_Sick_plural,Sicks
judge_Great_plural,Greats
judge_Good_plural,Goods
judge_Bad_plural,Bads
judge_Shit_plural,Shits
judge_Miss_plural,Misses

option_frameRate,Framerate
option_scrollType,Scroll Type
option_centerStrums,Center Strums
option_ghostTapping,Ghost Tapping
option_etternaMode,Wife3 Accuracy
option_scrollSpeed,Scroll Speed
option_lowQualityMode,Low Quality
option_accuracyDisplay,Show More Stats
option_showSongPosition,Show Song Position
option_showJudgeCounts,Show Judgement Counts
option_showNps,Notes per Second
option_noteSplashes,Note Splashes
option_distractions,Distractions
option_language,Language
option_strumUnderlay,Interface Dim
option_strumUnderlayType,Dim Type

optiondesc_frameRate,How many times the game is updated and drawn to your screen
optiondesc_scrollType,Changes where the notes scroll to
optiondesc_centerStrums,Centers your strums and hides the opponent's
optiondesc_ghostTapping,Lets you mash without penalty
optiondesc_etternaMode,Changes the accuracy system to use Wife3\nIt's way more complex (math-wise) for the sake of encouraging super accurate hits\nBut may feel mean to newer players
optiondesc_scrollSpeed,Overrides the chart's scroll speed with your own\napplies if it's not set to 1
optiondesc_lowQualityMode,Disables certain background effects to increase loading times (and in some cases, performance.)
optiondesc_accuracyDisplay,Shows Misses and Accuracy in the Score Text
optiondesc_showSongPosition,Shows a progress bar for the song in the HUD
optiondesc_showJudgeCounts,Shows a judgement counter during gameplay on the left side of the screen
optiondesc_showNps,Shows a NPS counter on the Score Text
optiondesc_noteSplashes,Hitting a sick and above spawns a funny splash that gives you a boner
optiondesc_distractions,Disables certain sounds and effects that may be distracting.
optiondesc_language,Changes the game's text interfaces to be on a different language
optiondesc_strumUnderlay,Enables a background behind the strums or stage
optiondesc_strumUnderlayType,Where should the underlay be layered on
